Temperature;Date;Time
20.25;2021-10-15;11:15:28.430330500
20.5;2021-10-15;11:15:30.348609600
20.5;2021-10-15;11:15:32.161674700
20.5;2021-10-15;11:15:33.972094500
20.5;2021-10-15;11:15:35.776096
20.5;2021-10-15;11:15:37.592093900
20.5;2021-10-15;11:15:39.418316800
20.5;2021-10-15;11:15:42.526538100
20.5;2021-10-15;11:15:44.399008300
20.5;2021-10-15;11:15:46.186331700
20.5;2021-10-15;11:15:48.017011200
20.5;2021-10-15;11:15:49.817338600
20.5;2021-10-15;11:15:51.637357
20.5;2021-10-15;11:15:53.427356700
20.5;2021-10-15;11:15:55.265359700
20.5;2021-10-15;11:15:57.060439600
20.5;2021-10-15;11:15:58.876484900
20.5;2021-10-15;11:16:00.715187400
20.5;2021-10-15;11:16:02.527251900
20.5;2021-10-15;11:16:04.388296200
20.5;2021-10-15;11:16:06.202530300
20.5;2021-10-15;11:16:08.037610700
20.5;2021-10-15;11:16:09.865309100
20.5;2021-10-15;11:16:11.733231600
20.5;2021-10-15;11:16:13.696222800
20.5;2021-10-15;11:16:15.515315100
20.5;2021-10-15;11:16:17.325818700
20.5;2021-10-15;11:16:19.197076900
20.5;2021-10-15;11:16:21.015814100
20.5;2021-10-15;11:16:22.841909900
20.5;2021-10-15;11:16:24.663068400
20.5;2021-10-15;11:16:26.457124200
20.5;2021-10-15;11:16:28.266618
20.5;2021-10-15;11:16:30.088469700
20.5;2021-10-15;11:16:31.918142100
20.5;2021-10-15;11:16:33.739938800
20.5;2021-10-15;11:16:35.535585900
20.5;2021-10-15;11:16:37.350055500
20.5;2021-10-15;11:16:39.200943800
20.5;2021-10-15;11:16:41.013597800
20.5;2021-10-15;11:16:42.808248500
20.5;2021-10-15;11:16:44.626833
20.5;2021-10-15;11:16:46.453527400
20.5;2021-10-15;11:16:48.278612
20.5;2021-10-15;11:16:50.085605800
20.5;2021-10-15;11:16:51.892196900
20.5;2021-10-15;11:16:53.719195800
20.5;2021-10-15;11:16:56.808487600
20.5;2021-10-15;11:16:58.707327600
20.5;2021-10-15;11:17:00.525221300
-300.0;2021-10-15;11:17:02.334901400
20.5;2021-10-15;11:17:04.176917500
-300.0;2021-10-15;11:17:05.994931
20.5;2021-10-15;11:17:07.906079900
-300.0;2021-10-15;11:17:09.707710200
20.5;2021-10-15;11:17:11.527442900
-300.0;2021-10-15;11:17:13.344370700
20.5;2021-10-15;11:17:15.156240600
-300.0;2021-10-15;11:17:16.954814800
20.5;2021-10-15;11:17:18.884534900
