Temperature;Date;Time
27.75;2021-10-15;12:36:32.085944403
27.5;2021-10-15;12:36:36.310057604
27.75;2021-10-15;12:36:40.673464316
27.75;2021-10-15;12:36:42.985714726
26.25;2021-10-15;12:36:51.969545736
27.25;2021-10-15;12:36:55.438273621
27.5;2021-10-15;12:36:59.804260895
27.5;2021-10-15;12:37:04.105772953
27.75;2021-10-15;12:37:06.885808522
27.75;2021-10-15;12:37:12.266463272
27.0;2021-10-15;12:58:49.985498106
-300.0;2021-10-15;12:58:54.785454197
-300.0;2021-10-15;12:58:57.593156818
-300.0;2021-10-15;12:59:01.904824427
-300.0;2021-10-15;12:59:04.805032122
28.5;2021-10-15;12:59:08.525486102
-300.0;2021-10-15;12:59:12.764447764
-300.0;2021-10-15;12:59:15.604354575
28.0;2021-10-15;12:59:19.864729008
27.75;2021-10-15;12:59:23.126785243
-300.0;2021-10-15;12:59:28.125104395
27.75;2021-10-15;12:59:29.965276940
-300.0;2021-10-15;12:59:35.476107384
27.5;2021-10-15;12:59:38.294855597
27.5;2021-10-15;12:59:41.604518041
27.75;2021-10-15;12:59:45.454065441
27.5;2021-10-15;12:59:49.174495670
27.75;2021-10-15;12:59:51.953449149
27.75;2021-10-15;12:59:57.093388307
27.75;2021-10-15;12:59:59.511596629
27.75;2021-10-15;13:00:03.763450213
27.75;2021-10-15;13:00:08.973702346
27.75;2021-10-15;13:00:11.293934561
-300.0;2021-10-15;13:00:15.592781959
27.5;2021-10-15;13:00:18.843672860
27.5;2021-10-15;13:00:24.150873192
-300.0;2021-10-15;13:00:26.463701676
-300.0;2021-10-15;13:00:30.073997613
-300.0;2021-10-15;13:00:33.812046782
27.75;2021-10-15;13:00:37.102647254
27.75;2021-10-15;13:00:42.581234077
27.75;2021-10-15;13:00:44.982832127
27.75;2021-10-15;13:00:49.172991820
27.5;2021-10-15;13:00:51.990480523
27.5;2021-10-15;13:00:57.205627917
27.5;2021-10-15;13:00:59.143446632
27.5;2021-10-15;13:01:04.312089873
-300.0;2021-10-15;13:01:06.622187118
27.5;2021-10-15;13:01:11.174659898
27.75;2021-10-15;13:01:14.982891171
27.5;2021-10-15;13:01:18.742046776
27.5;2021-10-15;13:01:21.594903407
27.5;2021-10-15;13:01:25.412299571
27.5;2021-10-15;13:01:27.722379617
27.5;2021-10-15;13:01:31.492063674
27.5;2021-10-15;13:01:35.242179502
-300.0;2021-10-15;13:01:39.353287999
27.5;2021-10-15;13:01:44.032369606
27.5;2021-10-15;13:01:47.303455525
27.5;2021-10-15;13:01:52.023301790
27.75;2021-10-15;13:01:54.363982477
27.5;2021-10-15;13:01:59.139929995
27.5;2021-10-15;13:02:01.482690105
27.5;2021-10-15;13:02:05.740474214
27.75;2021-10-15;13:02:11.270968533
27.5;2021-10-15;13:02:14.611295084
27.5;2021-10-15;13:02:18.841740820
27.75;2021-10-15;13:02:22.610515429
27.5;2021-10-15;13:02:27.441180815
27.5;2021-10-15;13:02:30.711067291
27.5;2021-10-15;13:02:35.468969187
27.5;2021-10-15;13:02:38.731399423
27.5;2021-10-15;13:02:40.581452997
27.75;2021-10-15;13:02:46.241059116
-300.0;2021-10-15;13:02:48.620430572
27.75;2021-10-15;13:02:51.949516158
27.5;2021-10-15;13:02:57.662679125
27.75;2021-10-15;13:03:01.471494498
27.5;2021-10-15;13:03:04.813603266
27.75;2021-10-15;13:03:08.159322593
27.75;2021-10-15;13:03:12.261899928
27.75;2021-10-15;13:03:16.529211121
27.75;2021-10-15;13:03:19.860929281
27.5;2021-10-15;13:03:24.138823367
27.5;2021-10-15;13:03:27.928537400
27.75;2021-10-15;13:03:32.210108168
27.5;2021-10-15;13:03:35.599025639
27.5;2021-10-15;13:03:38.269345070
27.5;2021-10-15;13:03:41.653171484
-300.0;2021-10-15;13:03:46.839374402
27.5;2021-10-15;13:03:51.099035732
27.5;2021-10-15;13:03:53.901339540
27.5;2021-10-15;13:03:57.210296933
27.5;2021-10-15;13:04:01.989976123
27.75;2021-10-15;13:04:04.808497403
27.5;2021-10-15;13:04:09.009834646
27.5;2021-10-15;13:04:11.819359486
-300.0;2021-10-15;13:04:16.057435676
27.75;2021-10-15;13:04:18.359417612
27.5;2021-10-15;13:04:23.128292913
27.5;2021-10-15;13:04:25.927460430
27.75;2021-10-15;13:04:29.669575799
