Temperature;Date;Time
21.5;2021-10-15;12:36:35.835175186
21.5;2021-10-15;12:36:39.615362932
21.5;2021-10-15;12:36:42.515794961
21.5;2021-10-15;12:36:53.595495681
21.5;2021-10-15;12:36:55.936491543
21.5;2021-10-15;12:36:59.314395967
21.5;2021-10-15;12:37:03.138003312
21.5;2021-10-15;12:37:08.413480872
21.5;2021-10-15;12:37:11.713047616
21.75;2021-10-15;12:58:49.514100261
21.75;2021-10-15;12:58:52.793278220
24.0;2021-10-15;12:58:57.106349142
24.25;2021-10-15;12:59:00.903450196
-300.0;2021-10-15;12:59:05.274657568
25.0;2021-10-15;12:59:11.354833355
25.25;2021-10-15;12:59:16.074985674
25.75;2021-10-15;12:59:20.334633346
-300.0;2021-10-15;12:59:24.476095328
26.0;2021-10-15;12:59:26.342914639
25.75;2021-10-15;12:59:30.433811595
25.75;2021-10-15;12:59:35.142367641
25.75;2021-10-15;12:59:37.825755523
25.5;2021-10-15;12:59:42.564199831
25.5;2021-10-15;12:59:44.984180223
25.5;2021-10-15;12:59:48.233848783
25.5;2021-10-15;12:59:53.833670323
25.5;2021-10-15;12:59:56.154164033
25.25;2021-10-15;13:00:01.452465881
25.25;2021-10-15;13:00:03.293413079
25.25;2021-10-15;13:00:08.033366564
25.25;2021-10-15;13:00:10.824132445
25.0;2021-10-15;13:00:16.534318390
25.0;2021-10-15;13:00:18.373309615
25.0;2021-10-15;13:00:22.135295357
25.0;2021-10-15;13:00:25.993419826
25.0;2021-10-15;13:00:31.013153534
25.0;2021-10-15;13:00:33.323044167
25.0;2021-10-15;13:00:37.883401295
-300.0;2021-10-15;13:00:41.143020121
25.0;2021-10-15;13:00:46.392475987
25.0;2021-10-15;13:00:48.703349803
24.75;2021-10-15;13:00:52.462302383
24.75;2021-10-15;13:00:56.204784492
24.75;2021-10-15;13:00:59.613352944
24.75;2021-10-15;13:01:03.822340234
24.75;2021-10-15;13:01:07.562181111
24.75;2021-10-15;13:01:10.692476656
24.75;2021-10-15;13:01:14.510875114
24.75;2021-10-15;13:01:17.774304311
-300.0;2021-10-15;13:01:24.940608253
24.75;2021-10-15;13:01:29.651723594
24.5;2021-10-15;13:01:32.922646794
-300.0;2021-10-15;13:01:35.700597279
24.75;2021-10-15;13:01:39.840625262
24.5;2021-10-15;13:01:44.502018477
24.5;2021-10-15;13:01:46.360603028
24.5;2021-10-15;13:01:50.092732729
24.75;2021-10-15;13:01:55.810217223
24.5;2021-10-15;13:01:58.121571615
24.5;2021-10-15;13:02:02.441306056
24.5;2021-10-15;13:02:05.244448849
24.5;2021-10-15;13:02:11.770217238
24.5;2021-10-15;13:02:16.514023229
24.5;2021-10-15;13:02:20.260953538
-300.0;2021-10-15;13:02:23.099801789
24.5;2021-10-15;13:02:26.451304570
24.5;2021-10-15;13:02:31.181128352
24.5;2021-10-15;13:02:34.981890924
24.5;2021-10-15;13:02:37.291148797
24.5;2021-10-15;13:02:41.521415786
24.5;2021-10-15;13:02:44.312941888
24.5;2021-10-15;13:02:49.151811895
24.5;2021-10-15;13:02:53.383303470
24.5;2021-10-15;13:02:55.731014325
24.5;2021-10-15;13:03:00.001313900
24.5;2021-10-15;13:03:05.309257132
24.5;2021-10-15;13:03:07.169694179
-300.0;2021-10-15;13:03:14.178392049
24.5;2021-10-15;13:03:17.472003744
24.5;2021-10-15;13:03:21.780339357
24.5;2021-10-15;13:03:23.621528112
24.5;2021-10-15;13:03:29.380124940
24.5;2021-10-15;13:03:31.718231892
24.25;2021-10-15;13:03:36.400145645
24.25;2021-10-15;13:03:38.752458327
24.25;2021-10-15;13:03:43.090773078
24.5;2021-10-15;13:03:45.410501501
-300.0;2021-10-15;13:03:50.598950669
24.25;2021-10-15;13:03:53.419955191
24.25;2021-10-15;13:03:58.178736045
24.5;2021-10-15;13:04:02.460611230
24.25;2021-10-15;13:04:07.598001112
-300.0;2021-10-15;13:04:12.321549173
24.5;2021-10-15;13:04:15.569784927
24.25;2021-10-15;13:04:22.632466020
24.25;2021-10-15;13:04:26.428150216
-300.0;2021-10-15;13:04:30.629350520
24.25;2021-10-15;13:04:33.409557829
24.25;2021-10-15;13:04:38.539479527
24.25;2021-10-15;13:04:41.791511012
-300.0;2021-10-15;13:04:45.097236889
24.25;2021-10-15;13:04:47.916859262
24.25;2021-10-15;13:04:53.568984845
24.25;2021-10-15;13:04:57.348931577
-300.0;2021-10-15;13:04:59.789056133
24.25;2021-10-15;13:05:04.959608966
24.25;2021-10-15;13:05:08.248193506
24.25;2021-10-15;13:05:11.989157060
24.25;2021-10-15;13:05:15.758557139
24.25;2021-10-15;13:05:18.079999700
24.25;2021-10-15;13:05:21.348413568
24.25;2021-10-15;13:05:25.078883152
-300.0;2021-10-15;13:05:28.837897137
-300.0;2021-10-15;13:05:32.589559168
24.25;2021-10-15;13:05:37.797172550
24.25;2021-10-15;13:05:41.518126857
24.25;2021-10-15;13:05:44.810446172
24.25;2021-10-15;13:05:49.139127153
24.25;2021-10-15;13:05:52.387518578
24.5;2021-10-15;13:05:56.147934861
24.25;2021-10-15;13:06:00.708084158
24.25;2021-10-15;13:06:04.958121922
24.5;2021-10-15;13:06:07.777234817
24.25;2021-10-15;13:06:12.967026169
24.25;2021-10-15;13:06:16.607052849
24.25;2021-10-15;13:06:20.968488918
24.25;2021-10-15;13:06:24.316297724
24.25;2021-10-15;13:06:28.047570849
24.25;2021-10-15;13:06:32.278528134
24.25;2021-10-15;13:06:35.088137596
24.25;2021-10-15;13:06:38.349821184
-300.0;2021-10-15;13:06:41.595575844
24.25;2021-10-15;13:06:46.766823612
24.25;2021-10-15;13:06:51.046941671
24.25;2021-10-15;13:06:53.857388416
24.25;2021-10-15;13:07:01.385676156
24.25;2021-10-15;13:07:04.694715667
24.25;2021-10-15;13:07:08.456780773
24.25;2021-10-15;13:07:12.227035310
24.25;2021-10-15;13:07:16.497073913
24.25;2021-10-15;13:07:18.807128051
24.25;2021-10-15;13:07:22.086787063
24.25;2021-10-15;13:07:27.165050838
24.25;2021-10-15;13:07:30.817039010
24.25;2021-10-15;13:07:36.148461821
24.25;2021-10-15;13:07:38.957546170
24.25;2021-10-15;13:07:43.776234227
24.25;2021-10-15;13:07:47.587768015
24.25;2021-10-15;13:07:51.816452984
24.25;2021-10-15;13:07:55.146266126
24.25;2021-10-15;13:07:59.505211132
24.25;2021-10-15;13:08:02.307172700
24.25;2021-10-15;13:08:07.005662974
24.25;2021-10-15;13:08:10.304805725
24.25;2021-10-15;13:08:13.106775616
24.25;2021-10-15;13:08:17.855893528
24.25;2021-10-15;13:08:21.126311973
24.25;2021-10-15;13:08:24.845538556
24.25;2021-10-15;13:08:28.586366847
24.25;2021-10-15;13:08:33.405188156
24.25;2021-10-15;13:08:36.155953038
24.25;2021-10-15;13:08:40.014092046
24.25;2021-10-15;13:08:44.144338399
24.25;2021-10-15;13:08:48.346322432
