Temperature;Date;Time
21.75;2021-10-15;12:36:29.324025772
21.75;2021-10-15;12:36:31.614782770
21.75;2021-10-15;12:36:35.344795157
21.75;2021-10-15;12:36:40.097903952
21.75;2021-10-15;12:36:43.455412758
21.75;2021-10-15;12:36:57.444104654
21.75;2021-10-15;12:37:00.758216422
21.75;2021-10-15;12:37:04.575433402
21.75;2021-10-15;12:37:07.924439229
21.75;2021-10-15;12:37:11.217525265
21.75;2021-10-15;12:58:50.455140507
22.0;2021-10-15;12:58:53.265246379
22.0;2021-10-15;12:58:58.565127532
22.0;2021-10-15;12:59:01.386978388
21.75;2021-10-15;12:59:05.783403953
21.75;2021-10-15;12:59:09.513600675
22.0;2021-10-15;12:59:12.295264367
22.0;2021-10-15;12:59:16.563512652
21.75;2021-10-15;12:59:19.394572962
21.75;2021-10-15;12:59:24.142769363
21.75;2021-10-15;12:59:26.848788844
21.75;2021-10-15;12:59:31.407141566
21.75;2021-10-15;12:59:34.160463541
21.75;2021-10-15;12:59:38.782336708
-300.0;2021-10-15;12:59:42.093950881
21.75;2021-10-15;12:59:44.512431553
21.75;2021-10-15;12:59:48.703980607
21.75;2021-10-15;12:59:52.424687613
21.75;2021-10-15;12:59:57.563367692
21.75;2021-10-15;12:59:59.995683315
21.75;2021-10-15;13:00:04.783948759
21.75;2021-10-15;13:00:07.563834870
21.75;2021-10-15;13:00:12.723925511
21.75;2021-10-15;13:00:16.063174672
21.75;2021-10-15;13:00:20.285614106
21.75;2021-10-15;13:00:23.555633891
21.75;2021-10-15;13:00:27.873286937
21.75;2021-10-15;13:00:29.724823960
21.75;2021-10-15;13:00:34.793651245
21.75;2021-10-15;13:00:38.823129071
21.75;2021-10-15;13:00:42.086260822
21.75;2021-10-15;13:00:44.510919505
21.75;2021-10-15;13:00:50.112778908
21.75;2021-10-15;13:00:53.901599171
-300.0;2021-10-15;13:00:55.732190152
21.75;2021-10-15;13:01:00.572252089
21.75;2021-10-15;13:01:02.883044006
21.75;2021-10-15;13:01:08.502960907
21.75;2021-10-15;13:01:11.642093224
21.75;2021-10-15;13:01:15.922272556
21.75;2021-10-15;13:01:19.782881098
21.75;2021-10-15;13:01:22.562586929
21.75;2021-10-15;13:01:28.203825263
21.75;2021-10-15;13:01:31.961812964
21.75;2021-10-15;13:01:36.172837920
21.75;2021-10-15;13:01:40.312172267
-300.0;2021-10-15;13:01:43.092243459
21.75;2021-10-15;13:01:46.831415427
21.75;2021-10-15;13:01:51.540050738
21.75;2021-10-15;13:01:54.831627925
21.75;2021-10-15;13:01:58.620335354
21.75;2021-10-15;13:02:03.394211388
21.75;2021-10-15;13:02:06.212263719
21.75;2021-10-15;13:02:10.781744104
21.75;2021-10-15;13:02:15.550942924
21.75;2021-10-15;13:02:19.792323792
21.75;2021-10-15;13:02:22.119404039
21.75;2021-10-15;13:02:25.980927640
21.75;2021-10-15;13:02:29.772286720
-300.0;2021-10-15;13:02:33.989871682
21.75;2021-10-15;13:02:42.461164052
21.75;2021-10-15;13:02:44.810781029
21.75;2021-10-15;13:02:50.091858426
21.75;2021-10-15;13:02:53.882432505
21.75;2021-10-15;13:02:56.690897099
21.75;2021-10-15;13:03:00.488574209
21.75;2021-10-15;13:03:04.311603087
21.75;2021-10-15;13:03:09.139008975
21.75;2021-10-15;13:03:13.690668702
21.75;2021-10-15;13:03:16.032308666
21.75;2021-10-15;13:03:20.331434192
21.75;2021-10-15;13:03:25.589629844
21.75;2021-10-15;13:03:27.442675624
21.75;2021-10-15;13:03:34.640831548
21.75;2021-10-15;13:03:42.148536753
21.75;2021-10-15;13:03:47.310027545
21.75;2021-10-15;13:03:50.110222204
21.75;2021-10-15;13:03:52.953369471
21.75;2021-10-15;13:03:57.691257760
21.75;2021-10-15;13:04:01.021878689
21.75;2021-10-15;13:04:05.280240028
21.75;2021-10-15;13:04:10.879172462
21.75;2021-10-15;13:04:14.628943808
21.75;2021-10-15;13:04:18.841563200
21.75;2021-10-15;13:04:22.150720255
21.75;2021-10-15;13:04:27.339323571
21.75;2021-10-15;13:04:31.098750449
-300.0;2021-10-15;13:04:34.340554134
21.75;2021-10-15;13:04:37.601184816
21.75;2021-10-15;13:04:40.369164702
21.75;2021-10-15;13:04:46.057165308
21.75;2021-10-15;13:04:48.388599262
21.75;2021-10-15;13:04:52.160019658
21.75;2021-10-15;13:04:56.407749737
21.75;2021-10-15;13:05:00.728957681
21.75;2021-10-15;13:05:04.020129435
21.75;2021-10-15;13:05:08.718883823
-300.0;2021-10-15;13:05:14.331061960
21.75;2021-10-15;13:05:19.507613437
21.75;2021-10-15;13:05:21.819228426
21.75;2021-10-15;13:05:26.508829549
21.75;2021-10-15;13:05:30.280301788
21.75;2021-10-15;13:05:34.510057705
21.75;2021-10-15;13:05:38.267851451
21.75;2021-10-15;13:05:40.577559862
21.75;2021-10-15;13:05:45.307421743
21.75;2021-10-15;13:05:48.588196449
21.75;2021-10-15;13:05:52.859274185
21.75;2021-10-15;13:05:54.699681636
21.75;2021-10-15;13:06:02.117598212
21.75;2021-10-15;13:06:04.490170098
21.75;2021-10-15;13:06:09.188227846
21.75;2021-10-15;13:06:12.471114680
21.75;2021-10-15;13:06:15.328089867
21.75;2021-10-15;13:06:19.505654459
21.75;2021-10-15;13:06:24.787562321
21.75;2021-10-15;13:06:27.578890451
21.75;2021-10-15;13:06:31.336205200
21.75;2021-10-15;13:06:34.137861571
21.75;2021-10-15;13:06:38.816988819
21.75;2021-10-15;13:06:42.095104186
-300.0;2021-10-15;13:06:45.357411960
21.75;2021-10-15;13:06:49.140504908
21.75;2021-10-15;13:06:54.819589973
21.75;2021-10-15;13:07:00.897103851
21.75;2021-10-15;13:07:03.726976230
21.75;2021-10-15;13:07:07.024722368
-300.0;2021-10-15;13:07:10.814868667
21.75;2021-10-15;13:07:15.556752648
21.75;2021-10-15;13:07:20.246557930
21.75;2021-10-15;13:07:24.008185458
21.75;2021-10-15;13:07:28.149756021
21.75;2021-10-15;13:07:32.805287165
21.75;2021-10-15;13:07:35.184555660
-300.0;2021-10-15;13:07:39.989295465
21.75;2021-10-15;13:07:42.346596020
21.75;2021-10-15;13:07:47.105733862
21.75;2021-10-15;13:07:50.385457677
21.75;2021-10-15;13:07:53.710334780
21.75;2021-10-15;13:07:57.554559817
21.75;2021-10-15;13:08:03.258660927
21.75;2021-10-15;13:08:05.569714981
21.75;2021-10-15;13:08:10.775620368
-300.0;2021-10-15;13:08:12.636606410
21.75;2021-10-15;13:08:17.385889475
21.75;2021-10-15;13:08:21.596108897
21.75;2021-10-15;13:08:25.805568295
21.75;2021-10-15;13:08:29.656933104
21.75;2021-10-15;13:08:31.973351927
21.75;2021-10-15;13:08:38.486123080
21.75;2021-10-15;13:08:45.097756660
21.75;2021-10-15;13:08:47.405937055
21.75;2021-10-15;13:08:51.666344971
21.75;2021-10-15;13:08:55.885245237
21.75;2021-10-15;13:08:58.693547025
21.75;2021-10-15;13:09:02.817250309
21.75;2021-10-15;13:09:06.194138812
21.75;2021-10-15;13:09:11.897714454
21.75;2021-10-15;13:09:13.780585430
21.75;2021-10-15;13:09:17.575097508
21.75;2021-10-15;13:09:22.769564866
21.75;2021-10-15;13:09:26.994705597
21.75;2021-10-15;13:09:30.254226321
21.75;2021-10-15;13:09:34.004276043
21.75;2021-10-15;13:09:36.814978776
21.75;2021-10-15;13:09:40.576462283
21.75;2021-10-15;13:09:48.995853014
21.75;2021-10-15;13:09:51.823722400
21.75;2021-10-15;13:09:55.623378897
21.75;2021-10-15;13:10:01.856050894
21.75;2021-10-15;13:10:05.122065066
21.75;2021-10-15;13:10:09.814202030
21.75;2021-10-15;13:10:17.822868612
21.75;2021-10-15;13:10:21.613434608
21.75;2021-10-15;13:10:24.982641501
21.75;2021-10-15;13:10:29.193652716
21.75;2021-10-15;13:10:32.924870517
21.75;2021-10-15;13:10:36.755451158
21.75;2021-10-15;13:10:39.614176745
21.75;2021-10-15;13:10:42.423780068
21.75;2021-10-15;13:10:46.695442707
21.75;2021-10-15;13:10:50.433301500
21.75;2021-10-15;13:10:53.773544551
21.75;2021-10-15;13:10:59.144756346
21.75;2021-10-15;13:11:02.413893070
21.75;2021-10-15;13:11:06.163010421
21.75;2021-10-15;13:11:10.471501366
21.75;2021-10-15;13:11:12.821992623
21.75;2021-10-15;13:11:17.135804491
21.75;2021-10-15;13:11:20.414193951
21.75;2021-10-15;13:11:24.182569201
-300.0;2021-10-15;13:11:29.464745268
21.75;2021-10-15;13:11:32.773115193
21.75;2021-10-15;13:11:36.482675641
21.75;2021-10-15;13:11:39.321802733
-300.0;2021-10-15;13:11:43.901224066
21.75;2021-10-15;13:11:47.173440692
21.75;2021-10-15;13:11:51.702447935
21.75;2021-10-15;13:11:53.542706852
21.75;2021-10-15;13:11:57.315569679
21.75;2021-10-15;13:12:01.634224775
21.75;2021-10-15;13:12:06.355008957
21.75;2021-10-15;13:12:10.444034160
21.75;2021-10-15;13:12:13.692731791
21.75;2021-10-15;13:12:19.812910842
21.75;2021-10-15;13:12:23.551798024
21.75;2021-10-15;13:12:28.824335170
21.75;2021-10-15;13:12:32.571811277
22.0;2021-10-15;13:12:35.040263401
21.75;2021-10-15;13:12:38.323381040
21.75;2021-10-15;13:12:42.134198029
-300.0;2021-10-15;13:12:45.961513339
21.75;2021-10-15;13:12:51.650261658
21.75;2021-10-15;13:12:54.961443504
21.75;2021-10-15;13:12:58.702892225
21.75;2021-10-15;13:13:01.042092280
21.75;2021-10-15;13:13:05.744336539
21.75;2021-10-15;13:13:10.081378978
21.75;2021-10-15;13:13:11.931316618
21.75;2021-10-15;13:13:15.661726857
-300.0;2021-10-15;13:13:18.912290868
21.75;2021-10-15;13:13:22.713658160
21.75;2021-10-15;13:13:31.220607487
21.75;2021-10-15;13:13:34.029861930
21.75;2021-10-15;13:13:36.822146615
21.75;2021-10-15;13:13:42.060591782
21.75;2021-10-15;13:13:45.781195483
21.75;2021-10-15;13:13:48.562900531
21.75;2021-10-15;13:13:53.391236782
21.75;2021-10-15;13:13:56.992033967
21.75;2021-10-15;13:14:01.190784316
21.75;2021-10-15;13:14:04.312775479
22.0;2021-10-15;13:14:08.098127949
22.0;2021-10-15;13:14:13.870171231
21.75;2021-10-15;13:14:16.691377065
22.0;2021-10-15;13:14:20.450948099
22.0;2021-10-15;13:14:23.700671577
21.75;2021-10-15;13:14:27.017926129
22.0;2021-10-15;13:14:30.828088597
22.0;2021-10-15;13:14:35.750259355
22.0;2021-10-15;13:14:37.582259370
22.0;2021-10-15;13:14:40.840195299
22.0;2021-10-15;13:14:45.098301642
21.75;2021-10-15;13:14:51.159354318
21.75;2021-10-15;13:14:55.368262256
21.75;2021-10-15;13:15:00.561623540
22.0;2021-10-15;13:15:02.881434597
22.0;2021-10-15;13:15:07.099609056
21.75;2021-10-15;13:15:10.809463569
21.75;2021-10-15;13:15:14.609781574
22.0;2021-10-15;13:15:18.850940485
22.0;2021-10-15;13:15:22.119500569
22.0;2021-10-15;13:15:25.929497742
22.0;2021-10-15;13:15:29.669855341
22.0;2021-10-15;13:15:34.489738389
22.0;2021-10-15;13:15:38.239334403
22.0;2021-10-15;13:15:40.089795291
22.0;2021-10-15;13:15:44.158833150
22.0;2021-10-15;13:15:48.358378098
22.0;2021-10-15;13:15:53.069320020
22.0;2021-10-15;13:15:55.897036646
22.0;2021-10-15;13:16:00.569301044
22.0;2021-10-15;13:16:03.798799191
22.0;2021-10-15;13:16:05.639032510
