Temperature;Date;Time
22.25;2021-10-15;12:36:29.795326195
22.25;2021-10-15;12:36:32.556064393
-300.0;2021-10-15;12:36:34.872523481
22.25;2021-10-15;12:36:39.126043191
22.25;2021-10-15;12:36:43.956622127
22.25;2021-10-15;12:36:53.123322617
22.25;2021-10-15;12:36:56.875132579
22.25;2021-10-15;12:37:01.253763917
22.25;2021-10-15;12:37:03.635097620
22.25;2021-10-15;12:37:08.895452087
22.25;2021-10-15;12:37:12.782796121
22.25;2021-10-15;12:58:50.927353171
22.5;2021-10-15;12:58:53.737893032
22.75;2021-10-15;12:58:56.635293981
22.75;2021-10-15;12:59:00.414850105
-300.0;2021-10-15;12:59:06.234789922
22.5;2021-10-15;12:59:09.012926613
22.75;2021-10-15;12:59:13.253081627
22.75;2021-10-15;12:59:15.112862090
22.5;2021-10-15;12:59:18.902949449
22.5;2021-10-15;12:59:23.623251504
22.5;2021-10-15;12:59:27.344761809
22.25;2021-10-15;12:59:30.903743040
22.25;2021-10-15;12:59:34.646890470
-300.0;2021-10-15;12:59:39.314358173
22.25;2021-10-15;12:59:41.133656414
-300.0;2021-10-15;12:59:46.393760420
22.25;2021-10-15;12:59:49.643363112
22.25;2021-10-15;12:59:53.363704538
22.25;2021-10-15;12:59:55.683053993
22.25;2021-10-15;13:00:00.492040502
22.25;2021-10-15;13:00:04.314107962
22.25;2021-10-15;13:00:08.503646012
22.25;2021-10-15;13:00:11.781619503
22.25;2021-10-15;13:00:14.625729050
22.25;2021-10-15;13:00:19.331448336
22.25;2021-10-15;13:00:22.603944859
22.25;2021-10-15;13:00:26.932964305
22.25;2021-10-15;13:00:31.483549671
22.25;2021-10-15;13:00:35.263110753
22.25;2021-10-15;13:00:38.352844112
22.25;2021-10-15;13:00:41.613154446
22.25;2021-10-15;13:00:45.453313174
22.25;2021-10-15;13:00:48.233277578
22.25;2021-10-15;13:00:52.932728523
22.25;2021-10-15;13:00:56.701572066
22.25;2021-10-15;13:01:00.100979910
22.25;2021-10-15;13:01:03.352487055
22.25;2021-10-15;13:01:08.032715173
22.25;2021-10-15;13:01:12.113066532
-300.0;2021-10-15;13:01:13.952293566
22.25;2021-10-15;13:01:19.311892034
22.25;2021-10-15;13:01:24.492570551
22.25;2021-10-15;13:01:28.691158765
22.25;2021-10-15;13:01:32.451538802
22.25;2021-10-15;13:01:36.653970947
22.25;2021-10-15;13:01:38.962430788
22.25;2021-10-15;13:01:43.562435252
22.25;2021-10-15;13:01:47.772421560
22.25;2021-10-15;13:01:50.580033747
22.25;2021-10-15;13:01:55.320381479
22.25;2021-10-15;13:01:59.640117589
22.25;2021-10-15;13:02:01.970770885
22.25;2021-10-15;13:02:06.683793802
22.25;2021-10-15;13:02:08.931975517
-300.0;2021-10-15;13:02:12.259682514
22.25;2021-10-15;13:02:15.081193383
22.25;2021-10-15;13:02:18.371730479
22.25;2021-10-15;13:02:24.139847961
22.25;2021-10-15;13:02:27.911231019
22.25;2021-10-15;13:02:30.240695782
22.25;2021-10-15;13:02:34.509347055
22.25;2021-10-15;13:02:38.259243886
22.25;2021-10-15;13:02:41.052490287
22.25;2021-10-15;13:02:45.280638668
22.25;2021-10-15;13:02:48.125215917
22.25;2021-10-15;13:02:52.901179950
22.25;2021-10-15;13:02:57.189555464
22.25;2021-10-15;13:03:00.978946318
-300.0;2021-10-15;13:03:03.302502393
22.25;2021-10-15;13:03:08.635976834
22.25;2021-10-15;13:03:13.218355483
22.25;2021-10-15;13:03:17.958287722
22.25;2021-10-15;13:03:20.800628903
22.25;2021-10-15;13:03:24.612183610
22.25;2021-10-15;13:03:28.418843364
22.25;2021-10-15;13:03:32.714691713
22.25;2021-10-15;13:03:35.110203865
22.25;2021-10-15;13:03:39.310301554
22.25;2021-10-15;13:03:43.578927951
22.25;2021-10-15;13:03:45.879921272
22.25;2021-10-15;13:03:49.640003888
22.25;2021-10-15;13:03:54.878588616
22.25;2021-10-15;13:03:58.650137812
22.25;2021-10-15;13:04:00.527612342
22.25;2021-10-15;13:04:05.749303469
22.25;2021-10-15;13:04:08.069566704
22.25;2021-10-15;13:04:11.349772008
22.25;2021-10-15;13:04:16.541423799
22.25;2021-10-15;13:04:19.347160513
22.25;2021-10-15;13:04:21.669480266
-300.0;2021-10-15;13:04:26.867179869
22.25;2021-10-15;13:04:30.161035681
22.25;2021-10-15;13:04:32.938873428
22.25;2021-10-15;13:04:38.069700205
22.25;2021-10-15;13:04:40.838874236
22.25;2021-10-15;13:04:44.609578066
-300.0;2021-10-15;13:04:48.859227829
22.25;2021-10-15;13:04:52.629801975
22.25;2021-10-15;13:04:55.446993438
22.25;2021-10-15;13:04:59.317031208
22.25;2021-10-15;13:05:04.488308012
22.25;2021-10-15;13:05:07.778254753
-300.0;2021-10-15;13:05:10.578882373
22.25;2021-10-15;13:05:13.849059031
22.25;2021-10-15;13:05:17.598985175
22.25;2021-10-15;13:05:22.758658939
22.25;2021-10-15;13:05:26.999460332
22.25;2021-10-15;13:05:30.776382966
22.25;2021-10-15;13:05:33.076845350
22.25;2021-10-15;13:05:37.308751824
22.25;2021-10-15;13:05:41.048378630
22.25;2021-10-15;13:05:47.645852216
22.25;2021-10-15;13:05:51.448483328
22.25;2021-10-15;13:05:56.618394859
-300.0;2021-10-15;13:06:01.647826034
22.25;2021-10-15;13:06:05.935809213
22.25;2021-10-15;13:06:09.657959929
22.25;2021-10-15;13:06:11.497040571
-300.0;2021-10-15;13:06:16.136448544
22.25;2021-10-15;13:06:20.495622775
22.25;2021-10-15;13:06:23.746986574
-300.0;2021-10-15;13:06:27.097522255
22.25;2021-10-15;13:06:30.409496550
22.25;2021-10-15;13:06:36.026697955
22.25;2021-10-15;13:06:39.307603002
22.25;2021-10-15;13:06:43.507220228
22.25;2021-10-15;13:06:45.827473527
22.25;2021-10-15;13:06:50.576887940
22.25;2021-10-15;13:06:54.338644767
22.25;2021-10-15;13:06:57.116737028
-300.0;2021-10-15;13:06:59.956574262
22.25;2021-10-15;13:07:04.196959955
22.25;2021-10-15;13:07:07.496884629
22.25;2021-10-15;13:07:12.696062919
22.25;2021-10-15;13:07:14.616174004
22.25;2021-10-15;13:07:19.308453382
22.25;2021-10-15;13:07:23.527150725
22.25;2021-10-15;13:07:27.648472733
22.25;2021-10-15;13:07:31.315287702
22.25;2021-10-15;13:07:36.624455257
22.25;2021-10-15;13:07:40.485039729
22.25;2021-10-15;13:07:43.306713920
22.25;2021-10-15;13:07:48.078949252
22.25;2021-10-15;13:07:51.344893197
22.25;2021-10-15;13:07:54.678798596
22.25;2021-10-15;13:07:59.005569384
22.25;2021-10-15;13:08:02.776809931
22.25;2021-10-15;13:08:06.535504927
22.25;2021-10-15;13:08:09.337418988
22.25;2021-10-15;13:08:14.606395684
-300.0;2021-10-15;13:08:16.446367341
22.25;2021-10-15;13:08:22.065901064
22.25;2021-10-15;13:08:25.334601300
22.25;2021-10-15;13:08:29.161887398
22.25;2021-10-15;13:08:32.934533537
22.25;2021-10-15;13:08:36.643742034
22.25;2021-10-15;13:08:38.975331136
-300.0;2021-10-15;13:08:45.567046559
22.25;2021-10-15;13:08:48.815237440
22.25;2021-10-15;13:08:53.094140957
22.25;2021-10-15;13:08:56.835547743
22.25;2021-10-15;13:08:59.170874442
-300.0;2021-10-15;13:09:03.754997988
22.25;2021-10-15;13:09:07.176925970
22.25;2021-10-15;13:09:11.416352254
22.25;2021-10-15;13:09:14.316543285
22.25;2021-10-15;13:09:19.017066679
22.25;2021-10-15;13:09:22.294320744
-300.0;2021-10-15;13:09:25.584820436
22.25;2021-10-15;13:09:28.845226008
22.25;2021-10-15;13:09:32.594945086
22.25;2021-10-15;13:09:36.344499796
22.25;2021-10-15;13:09:41.986057572
22.25;2021-10-15;13:09:44.784319501
22.25;2021-10-15;13:09:48.523921794
22.25;2021-10-15;13:09:52.765775470
-300.0;2021-10-15;13:09:54.633088951
22.25;2021-10-15;13:09:59.512534923
22.25;2021-10-15;13:10:02.795089663
-300.0;2021-10-15;13:10:05.593505480
22.25;2021-10-15;13:10:10.302374818
22.25;2021-10-15;13:10:13.565921154
22.25;2021-10-15;13:10:16.382168544
-300.0;2021-10-15;13:10:20.176520266
22.25;2021-10-15;13:10:25.454061340
22.25;2021-10-15;13:10:28.723278788
22.25;2021-10-15;13:10:31.513541069
22.25;2021-10-15;13:10:35.803785411
22.25;2021-10-15;13:10:40.564072622
22.25;2021-10-15;13:10:42.905300099
22.25;2021-10-15;13:10:47.634884911
22.25;2021-10-15;13:10:50.902928111
22.25;2021-10-15;13:10:54.321586521
22.25;2021-10-15;13:10:58.613190819
22.25;2021-10-15;13:11:02.884236190
22.25;2021-10-15;13:11:05.692666640
22.25;2021-10-15;13:11:08.492466181
22.25;2021-10-15;13:11:13.294361958
22.25;2021-10-15;13:11:17.630909798
22.25;2021-10-15;13:11:21.384662122
22.25;2021-10-15;13:11:25.653500369
22.25;2021-10-15;13:11:28.471328898
22.25;2021-10-15;13:11:33.242256142
22.25;2021-10-15;13:11:35.072235310
-300.0;2021-10-15;13:11:40.262972060
22.25;2021-10-15;13:11:43.541336524
22.25;2021-10-15;13:11:46.232067014
22.25;2021-10-15;13:11:50.892627710
22.25;2021-10-15;13:11:54.502818833
22.25;2021-10-15;13:11:57.811102320
22.5;2021-10-15;13:12:02.602707075
22.25;2021-10-15;13:12:05.403610490
-300.0;2021-10-15;13:12:09.491316796
22.25;2021-10-15;13:12:12.282726060
22.25;2021-10-15;13:12:16.984976513
22.25;2021-10-15;13:12:21.222224211
-300.0;2021-10-15;13:12:24.143425744
-300.0;2021-10-15;13:12:27.882693199
22.25;2021-10-15;13:12:32.102062043
22.25;2021-10-15;13:12:36.000720368
-300.0;2021-10-15;13:12:38.791239718
22.25;2021-10-15;13:12:43.583336255
22.25;2021-10-15;13:12:47.391834913
-300.0;2021-10-15;13:12:49.721655513
22.5;2021-10-15;13:12:55.443846559
22.25;2021-10-15;13:12:57.281220070
22.25;2021-10-15;13:13:01.983136011
22.5;2021-10-15;13:13:05.269391618
22.25;2021-10-15;13:13:09.610534866
22.25;2021-10-15;13:13:12.871549956
-300.0;2021-10-15;13:13:15.191163770
22.5;2021-10-15;13:13:19.409883993
22.25;2021-10-15;13:13:24.168910237
22.25;2021-10-15;13:13:26.491990915
-300.0;2021-10-15;13:13:29.790420811
22.5;2021-10-15;13:13:34.970304457
22.25;2021-10-15;13:13:38.739326553
22.25;2021-10-15;13:13:41.593161523
22.5;2021-10-15;13:13:44.840241877
22.5;2021-10-15;13:13:49.610886859
22.25;2021-10-15;13:13:52.921065355
-300.0;2021-10-15;13:13:58.870578741
22.25;2021-10-15;13:14:01.659871916
22.25;2021-10-15;13:14:04.780283507
22.25;2021-10-15;13:14:10.081347668
22.25;2021-10-15;13:14:12.409964801
22.25;2021-10-15;13:14:15.728838990
22.25;2021-10-15;13:14:20.920172300
22.25;2021-10-15;13:14:24.191205802
-300.0;2021-10-15;13:14:27.978405985
22.25;2021-10-15;13:14:32.120251700
22.25;2021-10-15;13:14:34.489654492
22.5;2021-10-15;13:14:41.310183638
22.5;2021-10-15;13:14:44.610044900
22.25;2021-10-15;13:14:52.100127746
22.5;2021-10-15;13:14:54.880460015
22.25;2021-10-15;13:14:58.620767999
22.25;2021-10-15;13:15:02.399458237
22.25;2021-10-15;13:15:07.571213969
22.5;2021-10-15;13:15:10.340296564
22.25;2021-10-15;13:15:13.609351606
22.25;2021-10-15;13:15:18.359759554
22.25;2021-10-15;13:15:23.100885634
22.25;2021-10-15;13:15:24.978459454
22.5;2021-10-15;13:15:29.198622333
22.5;2021-10-15;13:15:32.979110102
22.5;2021-10-15;13:15:37.768782772
22.5;2021-10-15;13:15:41.377880758
22.25;2021-10-15;13:15:45.578816147
22.5;2021-10-15;13:15:49.310636602
22.25;2021-10-15;13:15:51.648772234
-300.0;2021-10-15;13:15:55.406672530
22.5;2021-10-15;13:16:00.096862700
22.5;2021-10-15;13:16:03.329150074
-300.0;2021-10-15;13:16:06.427793796
22.5;2021-10-15;13:16:11.069049722
22.5;2021-10-15;13:16:14.798787834
22.5;2021-10-15;13:16:16.666630841
22.5;2021-10-15;13:16:20.868573588
22.5;2021-10-15;13:16:25.088328408
22.5;2021-10-15;13:16:28.858784732
22.5;2021-10-15;13:16:33.058756523
22.5;2021-10-15;13:16:35.848302905
22.5;2021-10-15;13:16:40.078488365
22.5;2021-10-15;13:16:44.789531828
22.5;2021-10-15;13:16:50.846544170
22.5;2021-10-15;13:16:55.078426388
22.5;2021-10-15;13:16:57.956834520
22.5;2021-10-15;13:17:02.288433213
22.5;2021-10-15;13:17:06.975601153
22.5;2021-10-15;13:17:10.777613868
22.5;2021-10-15;13:17:15.427805515
22.5;2021-10-15;13:17:18.589264402
22.5;2021-10-15;13:17:22.869590571
22.5;2021-10-15;13:17:27.077815941
22.5;2021-10-15;13:17:28.916974380
22.5;2021-10-15;13:17:33.717083847
22.5;2021-10-15;13:17:37.391883791
22.5;2021-10-15;13:17:40.177005716
22.5;2021-10-15;13:17:44.847528232
22.5;2021-10-15;13:17:46.718778301
22.5;2021-10-15;13:17:50.416349605
22.5;2021-10-15;13:17:55.556883272
22.5;2021-10-15;13:17:58.206411517
22.5;2021-10-15;13:18:02.906914365
22.5;2021-10-15;13:18:06.677392832
22.5;2021-10-15;13:18:10.076478485
22.5;2021-10-15;13:18:18.087155781
22.5;2021-10-15;13:18:24.606814868
-300.0;2021-10-15;13:18:28.817427301
22.5;2021-10-15;13:18:30.696232341
22.25;2021-10-15;13:22:11.861831434
22.5;2021-10-15;13:22:17.171841920
22.5;2021-10-15;13:22:19.033026232
22.5;2021-10-15;13:22:27.524708051
22.5;2021-10-15;13:22:30.372426836
22.5;2021-10-15;13:22:35.133718921
22.5;2021-10-15;13:22:37.943604436
22.5;2021-10-15;13:22:42.693559947
22.5;2021-10-15;13:22:45.943602324
22.5;2021-10-15;13:22:49.792751971
22.5;2021-10-15;13:22:53.661868234
22.5;2021-10-15;13:22:56.492002369
22.5;2021-10-15;13:23:03.562969694
22.5;2021-10-15;13:23:06.865543128
22.5;2021-10-15;13:23:10.653673571
22.5;2021-10-15;13:23:14.933562631
