Temperature;Date;Time
24.0;2021-10-15;12:36:33.024989986
24.0;2021-10-15;12:36:36.799756860
24.0;2021-10-15;12:36:38.655444005
24.0;2021-10-15;12:36:44.425525914
23.5;2021-10-15;12:36:52.636319347
24.0;2021-10-15;12:36:56.405565260
24.0;2021-10-15;12:37:00.276252144
24.0;2021-10-15;12:37:05.045843686
24.0;2021-10-15;12:37:07.436339399
24.0;2021-10-15;12:37:10.735354754
23.5;2021-10-15;12:58:48.888898636
24.25;2021-10-15;12:58:54.314982280
24.25;2021-10-15;12:58:58.080640447
24.0;2021-10-15;12:59:02.413659380
24.0;2021-10-15;12:59:04.315698100
23.75;2021-10-15;12:59:08.055864179
24.0;2021-10-15;12:59:11.826251474
24.25;2021-10-15;12:59:17.035238270
-300.0;2021-10-15;12:59:20.792844527
24.0;2021-10-15;12:59:22.644396909
24.0;2021-10-15;12:59:27.815283775
-300.0;2021-10-15;12:59:31.902061567
-300.0;2021-10-15;12:59:33.616721103
24.0;2021-10-15;12:59:37.353781755
24.0;2021-10-15;12:59:45.923709733
-300.0;2021-10-15;12:59:50.113524414
24.0;2021-10-15;12:59:52.894024026
24.0;2021-10-15;12:59:56.623904255
-300.0;2021-10-15;13:00:00.964210245
24.0;2021-10-15;13:00:05.254375783
24.0;2021-10-15;13:00:07.094224119
24.0;2021-10-15;13:00:12.253281574
24.0;2021-10-15;13:00:15.121759735
24.0;2021-10-15;13:00:19.803822038
23.75;2021-10-15;13:00:23.073346006
24.0;2021-10-15;13:00:27.404272603
24.0;2021-10-15;13:00:30.543735399
24.0;2021-10-15;13:00:34.320841924
-300.0;2021-10-15;13:00:37.414516296
24.0;2021-10-15;13:00:40.673386963
24.0;2021-10-15;13:00:45.922976862
24.0;2021-10-15;13:00:49.642615928
24.0;2021-10-15;13:00:53.405536185
24.0;2021-10-15;13:01:01.043612199
24.0;2021-10-15;13:01:04.782728907
24.0;2021-10-15;13:01:07.092226607
-300.0;2021-10-15;13:01:10.221576753
24.0;2021-10-15;13:01:15.452818166
24.0;2021-10-15;13:01:18.270725010
24.0;2021-10-15;13:01:22.091093523
24.0;2021-10-15;13:01:25.883671370
24.0;2021-10-15;13:01:29.182481123
24.0;2021-10-15;13:01:33.392223438
24.0;2021-10-15;13:01:37.122269445
24.0;2021-10-15;13:01:40.782434155
24.0;2021-10-15;13:01:42.622546952
24.0;2021-10-15;13:01:48.242538256
24.0;2021-10-15;13:01:51.052219426
24.0;2021-10-15;13:01:53.879710889
-300.0;2021-10-15;13:01:57.651684471
24.0;2021-10-15;13:02:02.911331070
24.0;2021-10-15;13:02:07.163946106
24.0;2021-10-15;13:02:12.731468929
24.0;2021-10-15;13:02:16.022098827
24.0;2021-10-15;13:02:19.323624219
24.0;2021-10-15;13:02:23.572107625
24.0;2021-10-15;13:02:26.950086015
24.0;2021-10-15;13:02:31.651637516
24.0;2021-10-15;13:02:33.490953776
-300.0;2021-10-15;13:02:37.761086198
24.0;2021-10-15;13:02:41.991382488
24.0;2021-10-15;13:02:45.769074495
24.0;2021-10-15;13:02:49.621009831
24.0;2021-10-15;13:02:52.432928146
24.0;2021-10-15;13:02:56.219471132
-300.0;2021-10-15;13:02:59.529745360
24.0;2021-10-15;13:03:03.799773661
24.0;2021-10-15;13:03:07.669282640
24.0;2021-10-15;13:03:12.730997678
24.0;2021-10-15;13:03:17.001039343
24.0;2021-10-15;13:03:21.289163538
-300.0;2021-10-15;13:03:25.099216066
24.0;2021-10-15;13:03:28.890364465
24.0;2021-10-15;13:03:31.229876102
-300.0;2021-10-15;13:03:35.928795596
24.0;2021-10-15;13:03:39.780426922
24.0;2021-10-15;13:03:42.620288389
24.0;2021-10-15;13:03:46.378150426
24.0;2021-10-15;13:03:49.169975032
24.0;2021-10-15;13:03:54.382654802
24.0;2021-10-15;13:03:56.739865026
-300.0;2021-10-15;13:04:01.518500297
24.0;2021-10-15;13:04:04.312153744
24.0;2021-10-15;13:04:08.540169894
24.0;2021-10-15;13:04:12.789976095
24.0;2021-10-15;13:04:15.099304510
24.0;2021-10-15;13:04:19.831690793
24.0;2021-10-15;13:04:23.599754428
24.0;2021-10-15;13:04:25.431632912
24.0;2021-10-15;13:04:29.198117292
24.0;2021-10-15;13:04:34.813069322
24.0;2021-10-15;13:04:36.649132859
24.0;2021-10-15;13:04:42.287508193
24.0;2021-10-15;13:04:44.137556659
24.0;2021-10-15;13:04:49.819172645
24.0;2021-10-15;13:04:51.687328967
24.0;2021-10-15;13:04:56.879703146
24.0;2021-10-15;13:05:00.259255782
24.0;2021-10-15;13:05:03.068317840
24.0;2021-10-15;13:05:06.808963791
24.0;2021-10-15;13:05:11.049618430
24.0;2021-10-15;13:05:14.798898233
24.0;2021-10-15;13:05:18.549010995
24.0;2021-10-15;13:05:22.288129667
24.0;2021-10-15;13:05:25.566359324
24.0;2021-10-15;13:05:29.798164176
24.0;2021-10-15;13:05:33.549081816
24.0;2021-10-15;13:05:36.836512733
24.0;2021-10-15;13:05:41.987897017
24.0;2021-10-15;13:05:44.326096689
24.0;2021-10-15;13:05:48.118780393
24.0;2021-10-15;13:05:51.918546053
24.0;2021-10-15;13:05:55.657775629
24.0;2021-10-15;13:05:58.388778393
24.0;2021-10-15;13:06:01.179321887
24.0;2021-10-15;13:06:05.440050251
24.0;2021-10-15;13:06:08.718065507
24.0;2021-10-15;13:06:13.450022432
24.0;2021-10-15;13:06:15.816430043
24.0;2021-10-15;13:06:18.927768777
24.0;2021-10-15;13:06:22.808356590
24.0;2021-10-15;13:06:26.627797534
24.0;2021-10-15;13:06:31.808273431
24.0;2021-10-15;13:06:34.618412314
24.0;2021-10-15;13:06:39.789782091
24.0;2021-10-15;13:06:43.037202495
24.0;2021-10-15;13:06:47.237507200
24.0;2021-10-15;13:06:50.107374794
24.0;2021-10-15;13:06:53.385497218
24.0;2021-10-15;13:06:57.588013706
24.0;2021-10-15;13:06:59.486899677
24.0;2021-10-15;13:07:03.255514395
24.0;2021-10-15;13:07:08.926470632
24.0;2021-10-15;13:07:11.756852460
24.0;2021-10-15;13:07:15.086376046
24.0;2021-10-15;13:07:18.336874493
24.0;2021-10-15;13:07:22.559512117
-300.0;2021-10-15;13:07:28.978082707
24.0;2021-10-15;13:07:31.814661884
24.0;2021-10-15;13:07:35.658501787
24.0;2021-10-15;13:07:38.467825248
24.0;2021-10-15;13:07:44.306373529
24.0;2021-10-15;13:07:46.146232373
-300.0;2021-10-15;13:07:50.856592960
24.0;2021-10-15;13:07:55.634840839
24.0;2021-10-15;13:07:58.516763290
-300.0;2021-10-15;13:08:01.835203002
24.0;2021-10-15;13:08:06.064694644
24.0;2021-10-15;13:08:09.809255097
24.0;2021-10-15;13:08:14.134305240
24.0;2021-10-15;13:08:16.915779136
24.0;2021-10-15;13:08:20.658328156
24.0;2021-10-15;13:08:24.375483758
24.0;2021-10-15;13:08:28.115215463
24.0;2021-10-15;13:08:32.445775146
24.0;2021-10-15;13:08:35.685903724
24.0;2021-10-15;13:08:40.486125890
24.0;2021-10-15;13:08:43.605428447
24.0;2021-10-15;13:08:47.875228647
24.0;2021-10-15;13:08:52.135283312
24.0;2021-10-15;13:08:54.947221191
24.0;2021-10-15;13:08:59.655404902
24.0;2021-10-15;13:09:02.335060232
24.0;2021-10-15;13:09:06.694140050
24.0;2021-10-15;13:09:09.984969282
24.0;2021-10-15;13:09:15.735719415
24.0;2021-10-15;13:09:18.063038049
24.0;2021-10-15;13:09:21.824560063
24.0;2021-10-15;13:09:26.054316471
-300.0;2021-10-15;13:09:29.315242567
24.0;2021-10-15;13:09:33.535213353
24.0;2021-10-15;13:09:38.246299712
24.0;2021-10-15;13:09:41.514456870
-300.0;2021-10-15;13:09:43.816935382
24.0;2021-10-15;13:09:48.053226016
24.0;2021-10-15;13:09:51.326611886
24.0;2021-10-15;13:09:55.133626496
-300.0;2021-10-15;13:09:58.423357009
24.0;2021-10-15;13:10:01.373538219
24.0;2021-10-15;13:10:06.535743978
24.0;2021-10-15;13:10:08.864364135
24.0;2021-10-15;13:10:12.614515336
24.0;2021-10-15;13:10:16.865467725
24.0;2021-10-15;13:10:19.693083958
-300.0;2021-10-15;13:10:23.924361803
24.0;2021-10-15;13:10:27.293970916
24.0;2021-10-15;13:10:31.984645147
24.0;2021-10-15;13:10:36.274117426
24.0;2021-10-15;13:10:40.095012690
24.0;2021-10-15;13:10:43.856673104
24.0;2021-10-15;13:10:46.222337171
24.0;2021-10-15;13:10:49.493749123
24.0;2021-10-15;13:10:54.805277516
24.0;2021-10-15;13:10:58.143209044
24.0;2021-10-15;13:11:01.473495126
24.0;2021-10-15;13:11:04.726098043
24.0;2021-10-15;13:11:09.511439928
24.0;2021-10-15;13:11:14.314310950
24.0;2021-10-15;13:11:16.654548056
24.0;2021-10-15;13:11:21.871123073
24.0;2021-10-15;13:11:24.684600481
24.0;2021-10-15;13:11:27.974903795
24.0;2021-10-15;13:11:31.831337490
24.0;2021-10-15;13:11:36.013210007
24.0;2021-10-15;13:11:39.793104667
24.0;2021-10-15;13:11:43.042814600
-300.0;2021-10-15;13:11:47.642681124
24.0;2021-10-15;13:11:49.953688707
24.0;2021-10-15;13:11:54.031831180
24.0;2021-10-15;13:11:59.312064779
24.0;2021-10-15;13:12:01.152094582
24.0;2021-10-15;13:12:04.932762549
24.0;2021-10-15;13:12:08.704128920
24.0;2021-10-15;13:12:14.166559114
24.0;2021-10-15;13:12:16.502317735
24.0;2021-10-15;13:12:20.752253768
24.0;2021-10-15;13:12:24.629926666
24.0;2021-10-15;13:12:27.412249458
24.0;2021-10-15;13:12:30.690758593
24.0;2021-10-15;13:12:35.512020669
24.0;2021-10-15;13:12:39.810709926
24.0;2021-10-15;13:12:43.102763595
24.0;2021-10-15;13:12:47.881334819
24.0;2021-10-15;13:12:50.207460930
24.0;2021-10-15;13:12:53.961037227
24.0;2021-10-15;13:12:59.170967722
-300.0;2021-10-15;13:13:04.312727400
24.0;2021-10-15;13:13:08.600649194
24.0;2021-10-15;13:13:12.400981689
24.0;2021-10-15;13:13:17.102843280
24.0;2021-10-15;13:13:20.859110994
24.0;2021-10-15;13:13:23.680443722
24.0;2021-10-15;13:13:30.749358076
24.0;2021-10-15;13:13:33.061130703
24.0;2021-10-15;13:13:37.773029864
-300.0;2021-10-15;13:13:40.618987134
-300.0;2021-10-15;13:13:44.370893201
24.0;2021-10-15;13:13:49.139382316
24.0;2021-10-15;13:13:52.420204165
24.0;2021-10-15;13:13:58.400197130
-300.0;2021-10-15;13:14:02.461769176
24.0;2021-10-15;13:14:05.250878599
24.0;2021-10-15;13:14:09.141630407
24.0;2021-10-15;13:14:12.880378694
24.0;2021-10-15;13:14:19.490241478
24.0;2021-10-15;13:14:22.760429795
24.0;2021-10-15;13:14:26.530295467
-300.0;2021-10-15;13:14:31.651200378
24.0;2021-10-15;13:14:34.959940999
24.0;2021-10-15;13:14:38.049938082
24.0;2021-10-15;13:14:41.780602118
24.0;2021-10-15;13:14:46.050105886
24.0;2021-10-15;13:14:49.317646907
24.0;2021-10-15;13:14:52.570678875
24.0;2021-10-15;13:14:56.780296798
24.0;2021-10-15;13:14:59.137982865
24.0;2021-10-15;13:15:03.361826321
-300.0;2021-10-15;13:15:08.027456324
24.0;2021-10-15;13:15:11.279241216
24.0;2021-10-15;13:15:15.560150283
24.0;2021-10-15;13:15:19.341445427
-300.0;2021-10-15;13:15:22.630278947
24.0;2021-10-15;13:15:25.461773886
24.0;2021-10-15;13:15:30.138947083
24.0;2021-10-15;13:15:32.508260353
24.0;2021-10-15;13:15:36.357316579
24.0;2021-10-15;13:15:40.559399414
24.0;2021-10-15;13:15:43.688501906
24.0;2021-10-15;13:15:47.888540161
24.0;2021-10-15;13:15:51.177732241
-300.0;2021-10-15;13:15:56.877246826
-300.0;2021-10-15;13:15:59.139781888
