Temperatur;Date Time
19.75;2022-01-31 12:25:17.327875800
-300.0;2022-01-31 12:25:37.907105100
19.75;2022-01-31 12:25:41.344288100
-300.0;2022-01-31 12:26:36.255118400
19.75;2022-01-31 12:26:39.635756300
-300.0;2022-01-31 12:27:30.749652600
19.75;2022-01-31 12:27:34.164766800
-300.0;2022-01-31 12:28:14.417552300
19.75;2022-01-31 12:28:17.860209300
-300.0;2022-01-31 12:29:01.780431100
19.75;2022-01-31 12:29:05.116661
-300.0;2022-01-31 12:29:49.183158400
19.75;2022-01-31 12:29:52.612407200
-300.0;2022-01-31 12:30:40.220778200
19.75;2022-01-31 12:30:43.530103900
-300.0;2022-01-31 12:31:23.771733300
19.75;2022-01-31 12:31:27.211282700
-300.0;2022-01-31 12:32:54.832869400
19.75;2022-01-31 12:32:58.223248100
-300.0;2022-01-31 12:33:42.323434500
19.75;2022-01-31 12:33:45.731826600
-300.0;2022-01-31 12:35:25.886634900
19.75;2022-01-31 12:35:29.267030100
-300.0;2022-01-31 12:36:16.983972400
19.75;2022-01-31 12:36:20.381369700
20.0;2022-01-31 12:36:30.527915500
19.75;2022-01-31 12:36:33.795059900
-300.0;2022-01-31 12:37:00.770399400
20.0;2022-01-31 12:37:04.063651400
-300.0;2022-01-31 12:37:51.739606100
20.0;2022-01-31 12:37:55.692534600
19.75;2022-01-31 12:38:15.781155400
20.0;2022-01-31 12:38:52.033966100
19.75;2022-01-31 12:39:20.151990200
