Temperatur;Date Time
-300.0;2022-01-31 12:00:29.731871400
25.5;2022-01-31 12:07:43.539497300
-300.0;2022-01-31 12:07:46.489171400
20.75;2022-01-31 12:07:51.967395800
-300.0;2022-01-31 12:07:54.658556300
20.75;2022-01-31 12:08:05.483256600
21.25;2022-01-31 12:08:08.374923800
22.5;2022-01-31 12:08:11.248350800
22.75;2022-01-31 12:08:14.097202
23.0;2022-01-31 12:08:19.777192800
22.25;2022-01-31 12:09:05.745608500
22.75;2022-01-31 12:09:07.718848500
23.0;2022-01-31 12:09:09.667191200
-300.0;2022-01-31 12:09:23.148040800
22.0;2022-01-31 12:12:50.127768500
22.25;2022-01-31 12:12:52.276545400
22.5;2022-01-31 12:12:54.465626200
