Temperature;Date Time
20.0;2022-02-27 20:16:23.642886100
22.5;2022-02-27 20:49:31.449926900
22.75;2022-02-27 20:49:49.239109400
-300.0;2022-02-27 20:49:52.924835100
23.5;2022-02-27 20:50:13.508333600
-300.0;2022-02-27 20:50:16.084289600
23.75;2022-02-27 20:50:29.063657400
24.0;2022-02-27 20:50:37.063763600
24.25;2022-02-27 20:50:38.404428900
-300.0;2022-02-27 20:50:40.982995400
24.25;2022-02-27 20:50:44.963944300
24.0;2022-02-27 20:50:46.373570300
23.75;2022-02-27 20:50:47.681448400
24.0;2022-02-27 20:51:03.330776200
23.75;2022-02-27 20:51:04.500836700
23.5;2022-02-27 20:51:05.864366300
23.25;2022-02-27 20:51:26.724242400
23.5;2022-02-27 20:51:29.320015900
23.75;2022-02-27 20:52:20.492897700
-300.0;2022-02-27 20:52:36.780161600
22.5;2022-02-27 20:55:13.207957500
22.25;2022-02-27 20:55:15.543982500
22.5;2022-02-27 20:55:52.754285600
22.75;2022-02-27 20:56:20.861818
23.0;2022-02-27 20:57:09.013219900
23.25;2022-02-27 20:57:13.708651
-300.0;2022-02-27 20:57:38.801289600
23.5;2022-02-27 20:58:10.633224700
23.25;2022-02-27 20:58:15.268551600
-300.0;2022-02-27 20:59:08.293003200
23.25;2022-02-27 21:00:01.298531100
23.75;2022-02-27 21:00:03.653505600
24.0;2022-02-27 21:00:05.979679900
23.75;2022-02-27 21:00:59.072694400
24.0;2022-02-27 21:01:01.349805900
23.75;2022-02-27 21:01:42.417204900
24.0;2022-02-27 21:01:44.713202800
23.75;2022-02-27 21:02:45.250048100
23.5;2022-02-27 21:03:29.942227800
23.75;2022-02-27 21:03:32.276257800
23.5;2022-02-27 21:03:36.898146200
24.25;2022-02-27 21:03:41.376019300
24.5;2022-02-27 21:03:52.933166400
