Temperatur;Date Time
20.25;2022-01-31 12:25:18.471785300
20.5;2022-01-31 12:25:21.845577400
-300.0;2022-01-31 12:25:59.802031100
20.5;2022-01-31 12:26:03.274851100
-300.0;2022-01-31 12:26:54.335483300
20.5;2022-01-31 12:26:57.784109900
-300.0;2022-01-31 12:27:45.416095
20.5;2022-01-31 12:27:48.828052500
-300.0;2022-01-31 12:28:32.724356700
20.5;2022-01-31 12:28:36.094017500
-300.0;2022-01-31 12:29:16.510805
20.5;2022-01-31 12:29:19.805787100
-300.0;2022-01-31 12:30:03.851290300
20.5;2022-01-31 12:30:10.664746200
-300.0;2022-01-31 12:30:54.692568600
20.5;2022-01-31 12:30:58.013699900
-300.0;2022-01-31 12:31:38.432773700
20.5;2022-01-31 12:31:41.792266200
-300.0;2022-01-31 12:32:22.096967400
20.5;2022-01-31 12:32:25.505756200
-300.0;2022-01-31 12:33:09.456360400
20.5;2022-01-31 12:33:12.822883700
-300.0;2022-01-31 12:34:00.390841800
20.5;2022-01-31 12:34:03.911593700
20.25;2022-01-31 12:35:06.372265
20.5;2022-01-31 12:35:09.862365300
-300.0;2022-01-31 12:35:44.030708900
20.5;2022-01-31 12:35:47.408215600
-300.0;2022-01-31 12:36:31.544732800
20.5;2022-01-31 12:36:34.933313900
-300.0;2022-01-31 12:37:15.317026600
20.5;2022-01-31 12:37:18.700671500
20.25;2022-01-31 12:38:16.846336400
20.5;2022-01-31 12:38:32.945670200
20.25;2022-01-31 12:39:21.267737200
