Temperature;Date Time
-300.0;2022-02-27 20:16:28.615739800
20.0;2022-02-27 20:16:30.702983500
19.75;2022-02-27 20:16:32.823198700
20.0;2022-02-27 20:16:55.713591500
19.75;2022-02-27 20:16:58.772900800
20.0;2022-02-27 20:17:08.209857500
19.75;2022-02-27 20:17:21.453972900
20.0;2022-02-27 20:17:36.776687300
19.75;2022-02-27 20:17:39.824875500
20.0;2022-02-27 20:17:45.743935300
19.75;2022-02-27 20:17:48.734411900
20.0;2022-02-27 20:17:55.201806200
19.75;2022-02-27 20:17:58.223345
20.0;2022-02-27 20:18:04.475738900
19.75;2022-02-27 20:18:07.495906200
20.0;2022-02-27 20:18:44.569559800
19.75;2022-02-27 20:18:47.619788
20.0;2022-02-27 20:18:56.813440800
19.75;2022-02-27 20:19:02.714097900
20.0;2022-02-27 20:19:14.910605500
19.75;2022-02-27 20:19:18.050021700
20.0;2022-02-27 20:19:30.595986600
19.75;2022-02-27 20:19:36.646301500
20.0;2022-02-27 20:19:45.864055900
19.75;2022-02-27 20:19:48.906754600
20.0;2022-02-27 20:20:04.359494700
19.75;2022-02-27 20:20:10.202825600
20.0;2022-02-27 20:20:16.328845900
19.75;2022-02-27 20:20:19.480520200
20.0;2022-02-27 20:20:34.472619
19.75;2022-02-27 20:20:37.538030400
20.0;2022-02-27 20:20:59.430564600
19.75;2022-02-27 20:21:02.510536400
20.0;2022-02-27 20:27:29.366241900
19.75;2022-02-27 20:27:38.258472400
22.25;2022-02-27 20:49:31.954755600
22.75;2022-02-27 20:49:48.403835900
-300.0;2022-02-27 20:49:52.204496100
23.75;2022-02-27 20:50:15.224051800
24.0;2022-02-27 20:50:29.557381
23.75;2022-02-27 20:50:30.904824300
24.0;2022-02-27 20:50:46.845007900
-300.0;2022-02-27 20:50:59.896977900
23.75;2022-02-27 20:51:02.524698300
24.0;2022-02-27 20:51:05.012379500
24.25;2022-02-27 20:51:14.193162500
24.5;2022-02-27 20:51:22.053228800
24.75;2022-02-27 20:51:29.794378200
25.25;2022-02-27 20:51:59.840849600
25.5;2022-02-27 20:52:04.543070900
25.75;2022-02-27 20:52:16.203148
26.0;2022-02-27 20:52:32.679065700
-300.0;2022-02-27 20:52:37.233243800
26.25;2022-02-27 20:53:08.182239800
26.5;2022-02-27 20:53:26.382218700
26.75;2022-02-27 20:54:16.255873200
27.0;2022-02-27 20:55:13.712429500
26.75;2022-02-27 20:55:30.022131900
27.0;2022-02-27 20:56:26.006585200
-300.0;2022-02-27 20:56:30.573466300
26.25;2022-02-27 20:57:09.507028600
26.5;2022-02-27 20:57:21.204285800
26.25;2022-02-27 20:57:39.291120200
26.0;2022-02-27 20:57:41.520636200
25.75;2022-02-27 20:57:57.400362100
25.5;2022-02-27 20:58:06.499946900
-300.0;2022-02-27 20:58:22.613500600
24.25;2022-02-27 20:58:59.409461200
24.75;2022-02-27 20:59:04.080266100
24.25;2022-02-27 20:59:08.779666900
24.0;2022-02-27 20:59:15.636515400
23.75;2022-02-27 20:59:26.912367500
23.5;2022-02-27 20:59:43.319377800
25.0;2022-02-27 20:59:59.461802900
24.0;2022-02-27 21:00:01.790382700
24.25;2022-02-27 21:00:04.132685900
24.0;2022-02-27 21:00:59.560368200
23.75;2022-02-27 21:01:06.582770
23.5;2022-02-27 21:01:42.927205
23.25;2022-02-27 21:02:13.150416100
23.5;2022-02-27 21:02:15.468709200
23.25;2022-02-27 21:02:27.189482500
23.5;2022-02-27 21:02:34.179650800
23.25;2022-02-27 21:02:36.494991200
23.0;2022-02-27 21:03:30.437820
22.75;2022-02-27 21:03:37.398511200
-300.0;2022-02-27 21:03:51.089316
