Temperature;Date Time
20.25;2021-11-18 13:37:28.657411500
-300.0;2021-11-18 13:37:52.198296100
20.25;2021-11-18 13:40:52.502653200
-300.0;2021-11-18 13:41:05.125275
20.25;2021-11-18 13:41:07.313394700
-300.0;2021-11-18 13:41:28.514952500
20.25;2021-11-18 13:41:34.506205400
-300.0;2021-11-18 13:41:36.519510600
20.25;2021-11-18 13:42:06.048786800
-300.0;2021-11-18 13:42:08.070794300
20.25;2021-11-18 13:43:52.382004800
-300.0;2021-11-18 13:44:13.883229
20.25;2021-11-18 13:44:16.069273800
-300.0;2021-11-18 13:44:18.168359
20.25;2021-11-18 13:44:20.341360800
-300.0;2021-11-18 13:44:54.461230200
20.25;2021-11-18 13:44:56.588305400
-300.0;2021-11-18 13:45:07.401397800
20.25;2021-11-18 13:45:09.633833300
20.0;2021-11-18 13:46:12.780527800
-300.0;2021-11-18 13:46:47.091626200
20.0;2021-11-18 13:57:47.394059900
20.25;2021-11-18 13:58:06.529136600
-300.0;2021-11-18 13:58:15.070136700
20.25;2021-11-18 13:58:17.240342900
-300.0;2021-11-18 13:58:55.256986100
20.25;2021-11-18 13:58:57.450091600
