Temperatur;Date Time
23.0;2022-01-31 12:00:30.723559100
23.75;2022-01-31 12:00:33.384028400
24.0;2022-01-31 12:00:36.021845600
24.25;2022-01-31 12:00:38.724599800
-300.0;2022-01-31 12:00:46.730369200
24.5;2022-01-31 12:00:49.448443700
23.75;2022-01-31 12:06:47.727865200
24.25;2022-01-31 12:06:50.559804300
-300.0;2022-01-31 12:06:53.473349900
24.75;2022-01-31 12:06:59.199667600
25.0;2022-01-31 12:07:10.450491500
-300.0;2022-01-31 12:07:13.171193500
24.75;2022-01-31 12:07:18.428176700
25.0;2022-01-31 12:07:24.255967700
24.75;2022-01-31 12:07:35.872560200
25.0;2022-01-31 12:07:38.715669700
23.25;2022-01-31 12:07:44.509572600
-300.0;2022-01-31 12:07:47.608979100
21.75;2022-01-31 12:07:52.950020500
-300.0;2022-01-31 12:07:55.418036200
23.0;2022-01-31 12:08:09.374545800
23.25;2022-01-31 12:08:15.097587200
23.0;2022-01-31 12:08:26.494935600
22.25;2022-01-31 12:09:06.817313900
22.0;2022-01-31 12:09:16.457937800
20.5;2022-01-31 12:12:51.129533800
