Temperatur;Date Time
22.25;2022-01-31 12:25:19.516289800
22.5;2022-01-31 12:25:29.896101700
-300.0;2022-01-31 12:26:17.901615100
22.5;2022-01-31 12:26:21.326008100
-300.0;2022-01-31 12:27:12.530657500
22.5;2022-01-31 12:27:15.872858800
-300.0;2022-01-31 12:27:59.960392900
22.5;2022-01-31 12:28:03.337672300
-300.0;2022-01-31 12:28:47.327304500
22.5;2022-01-31 12:28:50.763198900
-300.0;2022-01-31 12:30:21.966026100
22.5;2022-01-31 12:30:25.334279
-300.0;2022-01-31 12:31:49.271522
22.5;2022-01-31 12:31:52.704052600
-300.0;2022-01-31 12:32:36.598365200
22.5;2022-01-31 12:32:39.982914900
-300.0;2022-01-31 12:33:23.925344100
22.5;2022-01-31 12:33:27.406901300
22.25;2022-01-31 12:35:07.473821900
22.5;2022-01-31 12:35:14.451796600
-300.0;2022-01-31 12:35:58.777150800
22.5;2022-01-31 12:36:02.127581600
-300.0;2022-01-31 12:36:46.002786800
22.5;2022-01-31 12:36:49.401714600
23.0;2022-01-31 12:37:02.822315
22.5;2022-01-31 12:37:06.197554500
22.75;2022-01-31 12:37:16.388770700
22.5;2022-01-31 12:37:23.256949400
-300.0;2022-01-31 12:37:33.507611500
22.5;2022-01-31 12:37:36.920786700
22.75;2022-01-31 12:37:46.963972700
22.5;2022-01-31 12:37:53.838893300
-300.0;2022-01-31 12:38:17.926422500
22.25;2022-01-31 12:38:34.038662
22.5;2022-01-31 12:38:54.208613700
22.25;2022-01-31 12:39:22.342680900
22.5;2022-01-31 12:47:50.780866100
